site_ID,pressure_zone_name,pressure_zone_elevation,connections_count,location_description,lat,lng,frequency_sampled
78A SYS,Kearny Mesa,600,4758,6200 Calle Mariselda,32.8355638888889,-117.096575,Weekly
257 SYS,Parkview,600,484,Across from 1565 Calle De Cinco,32.8193361111111,-117.247191666667,Weekly
241SYS,Carroll Ridge,610,31,9440 Carroll Park Dr,32.8874916666667,-117.174091666667,Monthly
176 SYS,North City (33),610,98,9896 Olson Dr; ,32.8858361111111,-117.194955555556,Monthly
49A SYS,North City (412),610,3263,John J. Hopkins & General Atomic,32.8945722222222,-117.23975,Weekly
309 SYS,North City (412),610,3263,4274 Campus Point Ct,32.8875444444444,-117.223841666667,Weekly
65 SYS,North City (92),610,9700,El Amigo Rd & Durango Dr,32.9506222222222,-117.253152777778,Weekly
317 SYS,North City (92),610,9700,12608 Spindle Top Dr,32.9510194444444,-117.136208333333,Weekly
320 SYS,North City(48),610,320,12501 La Tortola Dr,32.945825,-117.1157,Weekly
132 SYS,Paradise Mesa,610,13283,480 S. Meadowbrook Dr,32.697675,-117.026041666667,Weekly
134A SYS,Paradise Mesa,610,13283,Herrick St & 65th  St,32.7111472222222,-117.057980555556,Weekly
171 SYS,Paradise Mesa,610,13283,6541 Broadway,32.7157833333333,-117.057011111111,Weekly
64 SYS,Mira Mesa,625,14681,11168 Avenida Del Gato & Zapata,32.9242722222222,-117.148222222222,Weekly
223 SYS,Mira Mesa,625,14681,8441 New Salem St @ Fire Station,32.9156555555556,-117.142138888889,Weekly
240 SYS,Carbrillo Palisades,635,45,3387 Kearny Villa Lane,32.8056138888889,-117.153483333333,Monthly
150 SYS,Redwood  Village,645,9276,Acorn St & 62nd S t@ Fire Station,32.7606722222222,-117.063577777778,Weekly
151A SYS,Redwood  Village,645,9276,4929 Catoctin Dr  Sample Stanchion,32.7676027777778,-117.05915,Weekly
208A SYS,Del Cerro,656,1257,"Across from 6236 Wenrich Dr., in front of community park",32.7893666666667,-117.068197222222,Weekly
